Code	Barrio	Foreign born	Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
0600000US7203358451	Palmas barrio, Cataño Municipio, Puerto Rico	4.5	43.7
0600000US7203507238	Beatriz barrio, Cayey Municipio, Puerto Rico	3.1	27.4
0600000US7203515537	Cayey barrio-pueblo, Cayey Municipio, Puerto Rico	0.8	42.7
0600000US7203515752	Cedro barrio, Cayey Municipio, Puerto Rico	0.8	12.8
0600000US7203516913	Cercadillo barrio, Cayey Municipio, Puerto Rico	0	39.3
0600000US7203522718	Culebras Alto barrio, Cayey Municipio, Puerto Rico	0	100
0600000US7203522761	Culebras Bajo barrio, Cayey Municipio, Puerto Rico	0	0
0600000US7203528093	Farallón barrio, Cayey Municipio, Puerto Rico	0	45.1
0600000US7203531834	Guavate barrio, Cayey Municipio, Puerto Rico	0	42.8
0600000US7203537854	Jájome Alto barrio, Cayey Municipio, Puerto Rico	4.5	82
0600000US7203537897	Jájome Bajo barrio, Cayey Municipio, Puerto Rico	0	49.4
0600000US7203541638	Lapa barrio, Cayey Municipio, Puerto Rico	0	30.2
0600000US7203552087	Matón Abajo barrio, Cayey Municipio, Puerto Rico	0	46.4
0600000US7203552130	Matón Arriba barrio, Cayey Municipio, Puerto Rico	0	48.5
0600000US7203554452	Monte Llano barrio, Cayey Municipio, Puerto Rico	1.5	14.2
0600000US7203560300	Pasto Viejo barrio, Cayey Municipio, Puerto Rico	1.1	26
0600000US7203560644	Pedro Avila barrio, Cayey Municipio, Puerto Rico	0	0
0600000US7203561676	Piedras barrio, Cayey Municipio, Puerto Rico	0	100
0600000US7203567051	Quebrada Arriba barrio, Cayey Municipio, Puerto Rico	0	24.2
0600000US7203569459	Rincón barrio, Cayey Municipio, Puerto Rico	0	18.9
0600000US7203580854	Sumido barrio, Cayey Municipio, Puerto Rico	0.6	74.2
0600000US7203582746	Toíta barrio, Cayey Municipio, Puerto Rico	0	32.8
0600000US7203585498	Vegas barrio, Cayey Municipio, Puerto Rico	0.3	29.9
0600000US7203700000	Municipio subdivision not defined, Ceiba Municipio, Puerto Rico	0.7	-
0600000US7203715967	Ceiba barrio-pueblo, Ceiba Municipio, Puerto Rico	-	36.4
0600000US7203717644	Chupacallos barrio, Ceiba Municipio, Puerto Rico	0	53.3
0600000US7203723019	Daguao barrio, Ceiba Municipio, Puerto Rico	2.3	22.4
0600000US7203732178	Guayacán barrio, Ceiba Municipio, Puerto Rico	0	-
0600000US7203748260	Machos barrio, Ceiba Municipio, Puerto Rico	0	25.4
0600000US7203767825	Quebrada Seca barrio, Ceiba Municipio, Puerto Rico	0.3	46.5
0600000US7203769846	Río Abajo barrio, Ceiba Municipio, Puerto Rico	4.3	28.6
0600000US7203774490	Saco barrio, Ceiba Municipio, Puerto Rico	3.8	43.7
0600000US7203917730	Ciales barrio-pueblo, Ciales Municipio, Puerto Rico	4.6	60.8
0600000US7203917816	Cialitos barrio, Ciales Municipio, Puerto Rico	0	71.3
0600000US7203920568	Cordillera barrio, Ciales Municipio, Puerto Rico	0	60.5
0600000US7203929684	Frontón barrio, Ciales Municipio, Puerto Rico	0	62.1
0600000US7203934285	Hato Viejo barrio, Ciales Municipio, Puerto Rico	0.3	55.9
0600000US7203937338	Jaguas barrio, Ciales Municipio, Puerto Rico	0	57.3
0600000US7203961375	Pesas barrio, Ciales Municipio, Puerto Rico	0.5	37.7
0600000US7203964170	Pozas barrio, Ciales Municipio, Puerto Rico	0	65.7
0600000US7203982961	Toro Negro barrio, Ciales Municipio, Puerto Rico	0	56.1
0600000US7204103755	Arenas barrio, Cidra Municipio, Puerto Rico	0	26
0600000US7204106722	Bayamón barrio, Cidra Municipio, Puerto Rico	0.4	28.3
0600000US7204107281	Beatriz barrio, Cidra Municipio, Puerto Rico	2	45.4
0600000US7204116010	Ceiba barrio, Cidra Municipio, Puerto Rico	1.2	49.5
0600000US7204117417	Certenejas barrio, Cidra Municipio, Puerto Rico	0.2	19.5
0600000US7204118117	Cidra barrio-pueblo, Cidra Municipio, Puerto Rico	2.6	48.9
0600000US7204134930	Honduras barrio, Cidra Municipio, Puerto Rico	0	50.6
0600000US7204154495	Monte Llano barrio, Cidra Municipio, Puerto Rico	1	47
0600000US7204168341	Rabanal barrio, Cidra Municipio, Puerto Rico	0	30.5
0600000US7204169502	Rincón barrio, Cidra Municipio, Puerto Rico	0	43.3
0600000US7204169889	Río Abajo barrio, Cidra Municipio, Puerto Rico	0.6	37.3
0600000US7204175006	Salto barrio, Cidra Municipio, Puerto Rico	1.3	83.3
0600000US7204180725	Sud barrio, Cidra Municipio, Puerto Rico	0	43.5
0600000US7204182789	Toíta barrio, Cidra Municipio, Puerto Rico	0	52.7
0600000US7204318762	Coamo barrio-pueblo, Coamo Municipio, Puerto Rico	0	61.2
0600000US7204318848	Coamo Arriba barrio, Coamo Municipio, Puerto Rico	1.1	47.9
0600000US7204322933	Cuyón barrio, Coamo Municipio, Puerto Rico	0	56.3
0600000US7204334371	Hayales barrio, Coamo Municipio, Puerto Rico	0.6	42.3
0600000US7204347056	Los Llanos barrio, Coamo Municipio, Puerto Rico	0	45.1
0600000US7204358021	Palmarejo barrio, Coamo Municipio, Puerto Rico	1.3	33.5
0600000US7204360085	Pasto barrio, Coamo Municipio, Puerto Rico	1.2	58.5
0600000US7204360687	Pedro García barrio, Coamo Municipio, Puerto Rico	0	35.4
0600000US7204366062	Pulguillas barrio, Coamo Municipio, Puerto Rico	0	46.4
0600000US7204376253	San Ildefonso barrio, Coamo Municipio, Puerto Rico	3.1	38.9
0600000US7204377801	Santa Catalina barrio, Coamo Municipio, Puerto Rico	0.4	60.1
0600000US7204515666	Cedrito barrio, Comerío Municipio, Puerto Rico	0	44.6
0600000US7204516397	Cejas barrio, Comerío Municipio, Puerto Rico	0	46.7
0600000US7204519708	Comerío barrio-pueblo, Comerío Municipio, Puerto Rico	0	69.1
